"","CO_ANO","CO_MES","CO_NCM","CO_UNID","CO_PAIS","SG_UF_NCM","CO_VIA","CO_URF","QT_ESTAT","KG_LIQUIDO","VL_FOB"
"1494",2018,1,85322590,11,160,"RS",4,817600,1604732,1515,90309
"1495",2018,10,90230000,10,23,"SP",4,817700,0,1,180
"1496",2018,5,87089990,10,647,"SP",4,817700,141,141,8372
"1497",2018,12,84159090,10,196,"SP",4,817600,1,4,6516
"1498",2018,11,2022010,10,580,"RJ",0,717800,104,104,678
"1499",2018,7,84183000,11,97,"MS",7,147600,100,9000,34978
"1500",2018,9,85364900,11,556,"SC",4,817600,6,2,28
"1501",2018,5,40112090,11,97,"SP",7,147600,1074,31065,145901
"1502",2018,8,32061990,10,158,"BA",1,817800,4500,4500,7740
"1503",2018,5,62063000,11,845,"RS",7,1017701,90,27,981
"1504",2018,6,84829910,10,97,"SP",7,147600,94,94,2598
"1505",2018,2,85111000,11,345,"MG",4,617700,80,3,205
"1506",2018,10,94036000,11,505,"RS",1,1017700,179,3409,21385
"1507",2018,4,40103900,10,586,"PR",9,917500,56,56,1027
"1508",2018,7,5040011,10,23,"MT",0,817800,6761,6761,5761
"1509",2018,4,84749000,10,249,"ND",4,817700,0,0,576
"1510",2018,11,84099912,11,573,"SC",1,817800,1674,486004,976590
"1511",2018,11,9011110,21,493,"BA",1,517800,115,115200,223373
"1512",2018,10,87085099,10,599,"SP",4,817700,7,7,332
"1513",2018,10,84212990,11,239,"SP",0,817800,1976,271,7088
"1514",2018,11,84099979,11,240,"SP",4,817600,20,1,901
"1515",2018,11,83012000,10,589,"SP",1,817800,19,19,1334
"1516",2018,12,17019900,21,245,"PE",1,417902,245,245000,105350
"1517",2018,2,61062000,11,660,"RS",4,817700,480,91,9609
"1518",2018,5,39199090,10,169,"ND",4,817700,95,95,8050
"1519",2018,4,40129090,10,589,"RS",1,1017700,26133,26133,79169
"1520",2018,6,84839000,10,586,"SP",7,917500,7517,7555,36838
"1521",2018,5,99980201,10,301,"ND",1,717800,12,12,838
"1522",2018,5,61046300,11,53,"MG",4,817600,8,8,107
"1523",2018,4,73110000,10,249,"ND",1,817800,43237,43237,1321410
"1524",2018,12,82079000,10,97,"PR",7,147600,0,0,53
"1525",2018,8,40093100,10,40,"SP",4,817600,31,31,3791
"1526",2018,9,74199990,10,275,"SP",1,817800,0,0,2
"1527",2018,6,85444200,10,764,"SP",4,717700,228,228,2785
"1528",2018,7,62045200,11,845,"RJ",7,1017701,15,5,130
"1529",2018,9,85071090,11,63,"SP",7,1017503,13892,265854,1052380
"1530",2018,9,33051000,10,589,"SP",1,817800,99453,99454,191932
"1531",2018,11,30045090,10,493,"SP",4,817600,1203,1203,45126
"1532",2018,8,85362000,11,249,"SC",4,817600,3,12,531
"1533",2018,12,21032010,10,434,"SP",0,817800,206,181,549
"1534",2018,4,3057200,10,160,"PA",1,217800,6650,6650,130939
